Código,Cidade,Estado,Fem - 50 a 69,% Fem - 50 a 69,Total,DRS
350020,ADOLFO,SP,504,"28,05%",142,DRS 15
350120,ALVARES FLORENCE,SP,538,"30,50%",165,DRS 15
350180,AMERICO DE CAMPOS,SP,775,"26,26%",204,DRS 15
350260,APARECIDA D'OESTE,SP,615,"29,40%",181,DRS 15
350370,ARIRANHA,SP,1003,"20,90%",210,DRS 15
350395,ASPASIA,SP,257,"28,09%",73,DRS 15
350460,BADY BASSITT,SP,2094,"22,92%",480,DRS 15
350480,BALSAMO,SP,1206,"25,50%",308,DRS 15
351070,CARDOSO,SP,1588,"25,72%",409,DRS 15
351110,CATANDUVA,SP,15542,"24,56%",3818,DRS 15
351120,CATIGUA,SP,903,"23,33%",211,DRS 15
351130,CEDRAL,SP,1126,"23,87%",269,DRS 15
351290,COSMORAMA,SP,948,"26,74%",254,DRS 15
351385,DIRCE REIS,SP,224,"25,93%",59,DRS 15
351420,DOLCINOPOLIS,SP,282,"27,49%",78,DRS 15
351492,ELISIARIO,SP,351,"20,31%",72,DRS 15
351495,EMBAUBA,SP,281,"24,27%",69,DRS 15
351520,ESTRELA D'OESTE,SP,1036,"24,78%",257,DRS 15
351550,FERNANDOPOLIS,SP,9294,"26,11%",2427,DRS 15
351560,FERNANDO PRESTES,SP,696,"23,71%",166,DRS 15
351590,FLOREAL,SP,466,"32,05%",150,DRS 15
351680,GASTAO VIDIGAL,SP,427,"21,08%",91,DRS 15
351690,GENERAL SALGADO,SP,1463,"26,94%",395,DRS 15
351750,GUAPIACU,SP,2443,"22,45%",549,DRS 15
351800,GUARANI D'OESTE,SP,259,"24,39%",64,DRS 15
351940,IBIRA,SP,1398,"22,51%",315,DRS 15
351980,ICEM,SP,825,"20,29%",168,DRS 15
352070,INDIAPORA,SP,556,"27,94%",156,DRS 15
352115,IPIGUA,SP,691,"24,89%",172,DRS 15
352150,IRAPUA,SP,816,"21,78%",178,DRS 15
352190,ITAJOBI,SP,1998,"26,45%",529,DRS 15
352450,JACI,SP,736,"20,40%",151,DRS 15
352480,JALES,SP,6830,"27,10%",1851,DRS 15
352570,JOSE BONIFACIO,SP,4145,"22,13%",918,DRS 15
352810,MACAUBAL,SP,1026,"25,72%",264,DRS 15
352820,MACEDONIA,SP,524,"28,51%",150,DRS 15
352830,MAGDA,SP,415,"27,80%",116,DRS 15
352885,MARAPOAMA,SP,352,"23,62%",84,DRS 15
352910,MARINOPOLIS,SP,284,"27,10%",77,DRS 15
352950,MENDONCA,SP,602,"21,93%",133,DRS 15
352960,MERIDIANO,SP,498,"24,83%",124,DRS 15
352965,MESOPOLIS,SP,222,"23,90%",54,DRS 15
353000,MIRA ESTRELA,SP,432,"26,85%",116,DRS 15
353030,MIRASSOL,SP,7483,"24,24%",1814,DRS 15
353040,MIRASSOLANDIA,SP,595,"24,78%",148,DRS 15
353100,MONCOES,SP,316,"29,59%",94,DRS 15
353140,MONTE APRAZIVEL,SP,2853,"22,50%",642,DRS 15
353250,NEVES PAULISTA,SP,1265,"28,02%",355,DRS 15
353260,NHANDEARA,SP,1586,"27,42%",435,DRS 15
353270,NIPOA,SP,428,"17,63%",76,DRS 15
353280,NOVA ALIANCA,SP,812,"22,75%",185,DRS 15
353284,NOVA CANAA PAULISTA,SP,262,"29,60%",78,DRS 15
353300,NOVA GRANADA,SP,2300,"21,42%",493,DRS 15
353325,NOVAIS,SP,323,"12,15%",40,DRS 15
353350,NOVO HORIZONTE,SP,4739,"23,04%",1092,DRS 15
353400,ONDA VERDE,SP,470,"22,13%",105,DRS 15
353420,ORINDIUVA,SP,586,"16,29%",96,DRS 15
353475,OUROESTE,SP,1152,"21,57%",249,DRS 15
353500,PALESTINA,SP,1388,"21,78%",303,DRS 15
353510,PALMARES PAULISTA,SP,900,"15,01%",136,DRS 15
353520,PALMEIRA D'OESTE,SP,1293,"28,09%",364,DRS 15
353570,PARAISO,SP,720,"22,57%",163,DRS 15
353590,PARANAPUA,SP,472,"23,79%",113,DRS 15
353625,PARISI,SP,283,"26,82%",76,DRS 15
353660,PAULO DE FARIA,SP,1006,"22,63%",228,DRS 15
353690,PEDRANOPOLIS,SP,322,"26,90%",87,DRS 15
353810,PINDORAMA,SP,1890,"22,58%",427,DRS 15
